,txns,txns,txns,txns,txns,txns,txns,txns,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,months_active,months_active,months_active,months_active,months_active,months_active,months_active,months_active,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,69540.0,39.787172850158186,89.09266355095355,1.0,4.0,13.0,36.0,2114.0,69540.0,7652.141533624235,8633.016395736347,5.0,792.1692307692308,4084.5226578947368,12224.838095238094,42007.69230769231,69540.0,3.6419758412424503,2.508672234729513,1.0,1.0,3.0,5.0,11.0,69540.0,0.7523727351164797,0.9021486540487715,0.0,0.0,1.0,1.0,4.0,69540.0,1047.004721017957,1371.357829870583,0.0,148.8124906921782,526.1564800341488,1390.935177209403,12732.857142857141,69540.0,914.9271498418177,1894.0872438405977,0.0,10.0,179.0,942.0,31087.0,69540.0,40.20585274662065,118.7596564394318,1.0,3.0,8.0,23.0,2075.0
1,29586.0,98.15284256067059,143.1885273461551,1.0,23.0,54.0,117.0,5736.0,29586.0,36226.809271977705,16483.556571272755,5.0,24579.861011305933,35165.78239043158,45720.259133617954,100000.0,29586.0,8.660853106198878,4.035322324869977,1.0,5.0,9.0,12.0,14.0,29586.0,1.0235246400324478,1.0139074631214855,0.0,0.0,1.0,1.0,5.0,29586.0,5079.781183570914,5760.204949675006,0.0,909.5637943598956,3395.08579795022,7396.062406716418,90827.0704225352,29586.0,228.9866490907862,669.5935543763916,0.0,4.0,19.0,157.0,18400.0,29586.0,42.11948218752112,86.15636052961035,1.0,9.0,18.0,38.0,1644.0
2,70980.0,185.75571992110454,231.830782361435,1.0,49.0,103.0,221.0,2619.0,70980.0,9745.617159836202,8836.145046419508,5.0,2394.852848889445,6971.060166040101,15002.796925403225,57782.88960526316,70980.0,11.661763877148493,2.7116338801200968,1.0,10.0,13.0,14.0,15.0,70980.0,1.847323189630882,1.2655237403971125,0.0,1.0,2.0,3.0,5.0,70980.0,1192.6858205034775,1293.3485566135785,0.0,295.1341893436688,750.8935455244809,1595.3292224080265,11897.708333333332,70980.0,1670.434220907298,2746.4962125758484,0.0,128.0,687.0,2017.0,35751.0,70980.0,146.78558748943365,208.73119255013853,1.0,24.0,62.0,175.0,1953.0
3,3895.0,2034.201540436457,1927.610900430728,1.0,1006.5,1636.0,2536.5,51065.0,3895.0,2129.8154383585033,3883.108650570699,5.0,687.2513131542894,1165.094686109738,2129.330031888957,59593.4375,3895.0,11.49576379974326,3.583105370229772,1.0,10.0,14.0,14.0,15.0,3895.0,0.9707317073170731,1.0023935677016447,0.0,0.0,1.0,1.0,5.0,3895.0,1013.3639124978995,1567.2888094769608,0.0,282.81413493004527,534.8518032566277,1132.676927416922,30166.666666666664,3895.0,7330.929653401798,9629.092089607408,0.0,1311.0,4607.0,9744.5,209237.0,3895.0,1860.2326059050065,1382.9376835877194,1.0,1059.0,1529.0,2242.0,16610.0
