,txns,txns,txns,txns,txns,txns,txns,txns,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,atv_total,months_active,months_active,months_active,months_active,months_active,months_active,months_active,months_active,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,product_penetration,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,atv_total_qr,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,qr_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff,pos_ff
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,25898.0,155.66491620974594,467.0806341595874,1.0,13.0,44.0,127.0,20145.0,25898.0,13194.766663464432,15300.533303115208,5.0,1795.8137122844828,7333.9403603603605,19710.598614551083,100000.0,25898.0,7.538497181249517,4.684443779901818,1.0,3.0,7.0,12.0,14.0,25898.0,0.7543439647849255,0.725559712441752,0.0,0.0,1.0,1.0,3.0,25898.0,1811.0377239898355,3265.2154203473247,0.0,196.12162401741443,745.0502330341848,2012.6690938511324,90827.0704225352,25898.0,1066.979728164337,2489.5624115607925,0.0,7.0,158.0,997.75,50744.0,25898.0,125.53544675264499,391.44264578847384,1.0,7.0,20.0,84.0,14112.0
1.0,53845.0,168.67629306342278,507.7253371399998,1.0,15.0,50.0,143.0,51065.0,53845.0,12707.524408446337,14719.244345133506,5.0,1771.8325352112677,7084.166666666666,18900.0,100000.0,53845.0,8.063014207447303,4.677809652209293,1.0,3.0,8.0,13.0,14.0,53845.0,0.9252298263534219,0.6687570573830399,0.0,0.0,1.0,1.0,2.0,53845.0,1925.2769941606164,3147.5206092211583,0.0,289.64963503649636,866.6666666666665,2212.6118421052633,83999.5,53845.0,1198.4495496332065,2871.7757448849434,0.0,16.0,237.0,1195.0,209237.0,53845.0,139.6290463367072,391.2983478234372,1.0,8.0,25.0,99.0,16610.0
2.0,56567.0,151.12263333745824,445.5899194427073,1.0,12.0,42.0,122.0,23742.0,56567.0,12946.493627415304,15094.191683891755,5.0,1708.678204536649,7096.153846153847,19427.767645131084,100000.0,56567.0,7.319019923276822,4.686164153186525,1.0,3.0,7.0,12.0,15.0,56567.0,0.6022592677709618,0.6844842904457101,0.0,0.0,0.0,1.0,2.0,56567.0,1865.9879161341341,3265.947764117599,0.0,210.48284698944084,786.6666666666665,2105.7020101250746,80000.0,56567.0,1013.7129244966146,2548.709194271329,0.0,7.0,132.0,911.0,118104.0,56567.0,129.55732140647373,410.0828621841952,1.0,6.0,19.0,81.0,15494.0
3.0,23725.0,136.67839831401474,303.5042663021318,1.0,18.0,56.0,138.0,10385.0,23725.0,14147.16298166907,14323.019914294557,5.0,2729.0,9840.0,21140.714285714283,100000.0,23725.0,8.837766069546891,4.552484177925083,1.0,5.0,10.0,13.0,14.0,23725.0,2.4584193888303476,0.5354657801529125,1.0,2.0,2.0,3.0,3.0,23725.0,1602.388728778398,2564.0993603614597,0.0,263.96115442483926,722.598615916955,1790.0,56114.7868504772,23725.0,1580.3333192834564,2945.899024486934,0.0,102.0,556.0,1754.0,63140.0,23725.0,96.36307692307692,261.95293038306494,1.0,11.0,26.0,73.0,10022.0
